Task,Execution Time,Memory Usage,Book,nbCharacter
KMP,529,419,10386.txt,203720
Egrep,570,142,10386.txt,203720
EgrepLike,3107,1036,10387.txt,506035
KMP,1630,931,10387.txt,506035
Egrep,564,156,10387.txt,506035
EgrepLike,2837,1137,10388.txt,483319
KMP,1637,1107,10388.txt,483319
Egrep,539,140,10388.txt,483319
EgrepLike,1095,523,10389.txt,190711
KMP,488,392,10389.txt,190711
Egrep,618,133,10389.txt,190711
EgrepLike,1123,508,10390.txt,199605
KMP,493,381,10390.txt,199605
Egrep,553,128,10390.txt,199605
EgrepLike,2223,822,10391.txt,396308
KMP,1065,711,10391.txt,396308
Egrep,667,144,10391.txt,396308
EgrepLike,3683,1364,10392.txt,633985
KMP,1976,1268,10392.txt,633985
Egrep,603,147,10392.txt,633985
EgrepLike,346,291,10393.txt,56745
KMP,152,145,10393.txt,56745
Egrep,556,147,10393.txt,56745
EgrepLike,1721,689,10394.txt,295801
KMP,773,575,10394.txt,295801
Egrep,576,145,10394.txt,295801
EgrepLike,529,287,10395.txt,88121
KMP,228,287,10395.txt,88121
Egrep,583,146,10395.txt,88121
EgrepLike,1651,697,10396.txt,288813
KMP,871,676,10396.txt,288813
Egrep,542,137,10396.txt,288813
EgrepLike,1645,669,10397.txt,296616
KMP,795,658,10397.txt,296616
Egrep,593,134,10397.txt,296616
EgrepLike,1289,534,10398.txt,227663
KMP,582,523,10398.txt,227663
Egrep,630,133,10398.txt,227663
EgrepLike,1251,522,10401.txt,219485
KMP,572,505,10401.txt,219485
Egrep,593,128,10401.txt,219485
EgrepLike,2099,814,10402.txt,371972
KMP,965,701,10402.txt,371972
Egrep,551,142,10402.txt,371972
EgrepLike,2789,1039,10403.txt,471552
KMP,1436,923,10403.txt,471552
Egrep,566,156,10403.txt,471552
EgrepLike,2599,943,10404.txt,448521
KMP,1415,963,10404.txt,448521
Egrep,660,162,10404.txt,448521
EgrepLike,3047,1127,10409.txt,516504
KMP,1507,972,10409.txt,516504
Egrep,560,164,10409.txt,516504
EgrepLike,1015,435,10417.txt,180045
KMP,460,435,10417.txt,180045
Egrep,590,147,10417.txt,180045
EgrepLike,2258,903,10418.txt,373136
KMP,1005,763,10418.txt,373136
Egrep,552,155,10418.txt,373136
EgrepLike,1246,589,10419.txt,225220
KMP,606,420,10419.txt,225220
Egrep,588,142,10419.txt,225220
EgrepLike,1603,574,10420.txt,273512
KMP,730,574,10420.txt,273512
Egrep,556,146,10420.txt,273512
EgrepLike,3354,1124,10421.txt,578356
KMP,1663,1039,10421.txt,578356
Egrep,597,151,10421.txt,578356
EgrepLike,1715,708,10422.txt,301889
KMP,791,592,10422.txt,301889
Egrep,569,150,10422.txt,301889
EgrepLike,1680,701,10427.txt,300298
KMP,784,587,10427.txt,300298
Egrep,685,149,10427.txt,300298
EgrepLike,1364,590,10429.txt,235541
KMP,647,579,10429.txt,235541
Egrep,570,147,10429.txt,235541
EgrepLike,1361,572,10430.txt,232137
KMP,632,549,10430.txt,232137
Egrep,587,139,10430.txt,232137
EgrepLike,1697,714,10431.txt,273282
KMP,696,566,10431.txt,273282
Egrep,584,143,10431.txt,273282
EgrepLike,1825,845,10432.txt,321287
KMP,892,692,10432.txt,321287
Egrep,608,140,10432.txt,321287
EgrepLike,2029,862,10433.txt,365564
KMP,952,727,10433.txt,365564
Egrep,694,147,10433.txt,365564
EgrepLike,5353,1899,10434.txt,963077
KMP,2719,1748,10434.txt,963077
Egrep,557,158,10434.txt,963077
EgrepLike,2953,1110,10435.txt,509964
KMP,1533,962,10435.txt,509964
Egrep,640,162,10435.txt,509964
EgrepLike,1223,606,10436.txt,223891
KMP,613,423,10436.txt,223891
Egrep,568,142,10436.txt,223891
EgrepLike,901,423,10437.txt,150457
KMP,400,423,10437.txt,150457
Egrep,619,142,10437.txt,150457
EgrepLike,3245,1255,10438.txt,568371
KMP,1677,1033,10438.txt,568371
Egrep,589,149,10438.txt,568371
EgrepLike,705,443,10439.txt,122365
KMP,346,295,10439.txt,122365
Egrep,616,149,10439.txt,122365
EgrepLike,2285,920,10440.txt,397809
KMP,1042,779,10440.txt,397809
Egrep,633,158,10440.txt,397809
EgrepLike,1810,749,10441.txt,308605
KMP,825,720,10441.txt,308605
Egrep,566,146,10441.txt,308605
EgrepLike,2721,1056,10443.txt,478984
KMP,1329,932,10443.txt,478984
Egrep,588,158,10443.txt,478984
EgrepLike,3108,1107,10444.txt,533728
KMP,1489,961,10444.txt,533728
Egrep,599,162,10444.txt,533728
EgrepLike,3531,1257,10445.txt,644070
KMP,1752,1112,10445.txt,644070
Egrep,572,161,10445.txt,644070
EgrepLike,1002,424,10447.txt,166268
KMP,429,424,10447.txt,166268
Egrep,578,144,10447.txt,166268
EgrepLike,504,424,10448.txt,81020
KMP,237,283,10448.txt,81020
Egrep,541,144,10448.txt,81020
EgrepLike,3460,1294,10449.txt,591832
KMP,1624,1237,10449.txt,591832
Egrep,649,156,10449.txt,591832
EgrepLike,590,464,10450.txt,100699
KMP,269,309,10450.txt,100699
